epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
122,7639.81,1.05034,0.76781,0.97997,0.64836,0.0076042,0.0076042,0.0076042
123,7700.83,1.05561,0.7675,0.97997,0.64709,0.0075844,0.0075844,0.0075844
124,7761.89,1.05239,0.76812,0.97981,0.64945,0.0075646,0.0075646,0.0075646
125,7822.81,1.04986,0.76849,0.97965,0.65007,0.0075448,0.0075448,0.0075448
126,7883.73,1.05302,0.76869,0.97981,0.64897,0.007525,0.007525,0.007525
127,7944.96,1.05048,0.76807,0.97997,0.6466,0.0075052,0.0075052,0.0075052
128,8005.78,1.05174,0.76859,0.98002,0.64751,0.0074854,0.0074854,0.0074854
129,8066.8,1.0454,0.76875,0.98023,0.64673,0.0074656,0.0074656,0.0074656
130,8127.76,1.04813,0.76885,0.98033,0.65098,0.0074458,0.0074458,0.0074458
131,8188.6,1.04744,0.76838,0.98028,0.64873,0.007426,0.007426,0.007426
132,8249.87,1.04586,0.76807,0.98007,0.64652,0.0074062,0.0074062,0.0074062
133,8310.96,1.04782,0.76885,0.97991,0.64626,0.0073864,0.0073864,0.0073864
134,8371.89,1.04552,0.76911,0.97991,0.64369,0.0073666,0.0073666,0.0073666
135,8432.91,1.04765,0.76974,0.98023,0.64578,0.0073468,0.0073468,0.0073468
136,8493.87,1.04622,0.76906,0.98064,0.64957,0.007327,0.007327,0.007327
137,8555.07,1.04506,0.76906,0.98043,0.64128,0.0073072,0.0073072,0.0073072
138,8616,1.04048,0.7689,0.98028,0.64114,0.0072874,0.0072874,0.0072874
139,8676.94,1.04014,0.76968,0.97981,0.64447,0.0072676,0.0072676,0.0072676
140,8737.89,1.0412,0.76984,0.97976,0.64459,0.0072478,0.0072478,0.0072478
141,8798.9,1.03965,0.76968,0.97991,0.64119,0.007228,0.007228,0.007228
142,8860.03,1.04213,0.7713,0.98007,0.64376,0.0072082,0.0072082,0.0072082
143,8920.93,1.03585,0.77171,0.98002,0.63648,0.0071884,0.0071884,0.0071884
144,8981.85,1.03713,0.77218,0.97965,0.64129,0.0071686,0.0071686,0.0071686
145,9042.78,1.03675,0.77312,0.97976,0.63793,0.0071488,0.0071488,0.0071488
146,9103.76,1.03349,0.77327,0.97955,0.63112,0.007129,0.007129,0.007129
147,9164.91,1.03478,0.77348,0.97965,0.63359,0.0071092,0.0071092,0.0071092
148,9225.83,1.03581,0.77322,0.97976,0.63898,0.0070894,0.0070894,0.0070894
149,9286.77,1.03332,0.77416,0.9796,0.63348,0.0070696,0.0070696,0.0070696
150,9347.61,1.0331,0.77421,0.98002,0.63701,0.0070498,0.0070498,0.0070498
151,9408.59,1.03061,0.77457,0.97997,0.63437,0.00703,0.00703,0.00703
152,9469.76,1.02702,0.77473,0.98002,0.63185,0.0070102,0.0070102,0.0070102
153,9530.85,1.03103,0.77598,0.98007,0.62942,0.0069904,0.0069904,0.0069904
154,9591.91,1.03293,0.7765,0.97991,0.63067,0.0069706,0.0069706,0.0069706
155,9652.88,1.02873,0.77624,0.98002,0.63121,0.0069508,0.0069508,0.0069508
156,9713.82,1.03269,0.7765,0.97997,0.63093,0.006931,0.006931,0.006931
157,9774.92,1.02644,0.7777,0.98012,0.63226,0.0069112,0.0069112,0.0069112
158,9835.89,1.03773,0.77666,0.98012,0.62779,0.0068914,0.0068914,0.0068914
159,9896.88,1.03209,0.77645,0.98023,0.62932,0.0068716,0.0068716,0.0068716
160,9957.83,1.02672,0.77629,0.98017,0.62775,0.0068518,0.0068518,0.0068518
161,10018.8,1.02289,0.77676,0.98033,0.62928,0.006832,0.006832,0.006832
162,10080.1,1.02642,0.77733,0.98028,0.62248,0.0068122,0.0068122,0.0068122
163,10141,1.02627,0.77738,0.98054,0.62153,0.0067924,0.0067924,0.0067924
164,10202,1.02456,0.77817,0.98064,0.62425,0.0067726,0.0067726,0.0067726
165,10262.8,1.02462,0.77806,0.98043,0.62331,0.0067528,0.0067528,0.0067528
166,10323.8,1.01751,0.77843,0.98069,0.62628,0.006733,0.006733,0.006733
167,10385,1.01898,0.77822,0.98064,0.62154,0.0067132,0.0067132,0.0067132
168,10445.9,1.02392,0.77832,0.98064,0.62416,0.0066934,0.0066934,0.0066934
169,10506.8,1.01865,0.779,0.98075,0.62155,0.0066736,0.0066736,0.0066736
170,10567.8,1.01789,0.77921,0.98085,0.62013,0.0066538,0.0066538,0.0066538
171,10628.6,1.01702,0.77973,0.98106,0.62269,0.006634,0.006634,0.006634
172,10689.8,1.02007,0.77957,0.98121,0.62188,0.0066142,0.0066142,0.0066142
173,10750.9,1.01803,0.77921,0.98137,0.61591,0.0065944,0.0065944,0.0065944
174,10811.9,1.0162,0.77983,0.98147,0.61359,0.0065746,0.0065746,0.0065746
175,10872.9,1.01861,0.7803,0.98137,0.6147,0.0065548,0.0065548,0.0065548
176,10934,1.01363,0.78103,0.98121,0.61551,0.006535,0.006535,0.006535
177,10995.2,1.0157,0.78051,0.98127,0.61686,0.0065152,0.0065152,0.0065152
178,11056.5,1.01225,0.78113,0.98121,0.61357,0.0064954,0.0064954,0.0064954
179,11117.4,1.01718,0.78087,0.98127,0.61491,0.0064756,0.0064756,0.0064756
180,11178.3,1.01231,0.78051,0.98111,0.61203,0.0064558,0.0064558,0.0064558
181,11239.2,1.01323,0.78092,0.98069,0.61425,0.006436,0.006436,0.006436
182,11300.2,1.00788,0.78139,0.9809,0.61891,0.0064162,0.0064162,0.0064162
183,11361.3,1.01322,0.78186,0.98064,0.61371,0.0063964,0.0063964,0.0063964
184,11422.3,1.00701,0.78269,0.98085,0.60718,0.0063766,0.0063766,0.0063766
185,11483.3,1.00776,0.78274,0.9808,0.6098,0.0063568,0.0063568,0.0063568
